time;P_vessel_0;P_vessel_1
0.000;104.380;84.133
0.001;104.395;84.106
0.002;104.414;84.080
0.003;104.430;84.055
0.004;104.407;84.030
0.005;104.338;83.998
0.006;104.275;83.954
0.007;104.242;83.912
0.008;104.225;83.880
0.009;104.213;83.851
0.010;104.199;83.821
0.011;104.187;83.792
0.012;104.176;83.763
0.013;104.165;83.734
0.014;104.149;83.706
0.015;104.116;83.677
0.016;104.064;83.644
0.017;104.005;83.607
0.018;103.953;83.569
0.019;103.903;83.532
0.020;103.843;83.497
0.021;103.773;83.460
0.022;103.700;83.420
0.023;103.627;83.380
0.024;103.554;83.340
0.025;103.477;83.301
0.026;103.391;83.260
0.027;103.296;83.218
0.028;103.194;83.174
0.029;103.092;83.128
0.030;102.990;83.083
0.031;102.886;83.037
0.032;102.777;82.991
0.033;102.664;82.944
0.034;102.549;82.896
0.035;102.434;82.847
0.036;102.317;82.799
0.037;102.196;82.750
0.038;102.068;82.699
0.039;101.937;82.648
0.040;101.803;82.595
0.041;101.669;82.541
0.042;101.534;82.488
0.043;101.396;82.434
0.044;101.257;82.379
0.045;101.122;82.323
0.046;100.998;82.268
0.047;100.882;82.216
0.048;100.767;82.165
0.049;100.649;82.114
0.050;100.528;82.061
0.051;100.404;82.008
0.052;100.280;81.954
0.053;100.156;81.899
0.054;100.030;81.844
0.055;99.904;81.789
0.056;99.780;81.733
0.057;99.661;81.677
0.058;99.546;81.623
0.059;99.434;81.569
0.060;99.329;81.515
0.061;99.242;81.463
0.062;99.172;81.414
0.063;99.111;81.369
0.064;99.051;81.326
0.065;98.990;81.282
0.066;98.928;81.237
0.067;98.868;81.193
0.068;98.811;81.148
0.069;98.756;81.104
0.070;98.704;81.060
0.071;98.657;81.017
0.072;98.622;80.975
0.073;98.615;80.935
0.074;98.637;80.902
0.075;98.676;80.875
0.076;98.719;80.852
0.077;98.762;80.829
0.078;98.806;80.805
0.079;98.851;80.782
0.080;98.899;80.759
0.081;98.961;80.737
0.082;99.040;80.718
0.083;99.136;80.703
0.084;99.248;80.691
0.085;99.378;80.683
0.086;99.531;80.679
0.087;99.716;80.680
0.088;99.923;80.688
0.089;100.140;80.702
0.090;100.360;80.717
0.091;100.583;80.732
0.092;100.812;80.748
0.093;101.051;80.765
0.094;101.313;80.786
0.095;101.612;80.811
0.096;101.947;80.844
0.097;102.310;80.886
0.098;102.694;80.933
0.099;103.095;80.984
0.100;103.505;81.039
0.101;103.915;81.096
0.102;104.323;81.153
0.103;104.733;81.210
0.104;105.149;81.268
0.105;105.578;81.328
0.106;106.044;81.391
0.107;106.562;81.462
0.108;107.123;81.545
0.109;107.712;81.636
0.110;108.320;81.733
0.111;108.939;81.833
0.112;109.560;81.935
0.113;110.181;82.038
0.114;110.801;82.142
0.115;111.428;82.246
0.116;112.069;82.352
0.117;112.735;82.461
0.118;113.436;82.576
0.119;114.173;82.699
0.120;114.938;82.829
0.121;115.725;82.964
0.122;116.526;83.103
0.123;117.331;83.246
0.124;118.135;83.390
0.125;118.937;83.534
0.126;119.744;83.679
0.127;120.562;83.825
0.128;121.400;83.975
0.129;122.261;84.129
0.130;123.149;84.289
0.131;124.061;84.454
0.132;124.990;84.623
0.133;125.931;84.796
0.134;126.880;84.972
0.135;127.834;85.150
0.136;128.794;85.330
0.137;129.761;85.512
0.138;130.732;85.696
0.139;131.711;85.882
0.140;132.710;86.070
0.141;133.741;86.263
0.142;134.801;86.462
0.143;135.860;86.667
0.144;136.891;86.872
0.145;137.898;87.073
0.146;138.900;87.272
0.147;139.910;87.473
0.148;140.929;87.677
0.149;141.973;87.884
0.150;143.056;88.095
0.151;144.178;88.314
0.152;145.324;88.540
0.153;146.478;88.769
0.154;147.626;89.001
0.155;148.759;89.232
0.156;149.875;89.462
0.157;150.981;89.692
0.158;152.067;89.921
0.159;153.136;90.150
0.160;154.205;90.377
0.161;155.280;90.607
0.162;156.363;90.840
0.163;157.453;91.075
0.164;158.547;91.313
0.165;159.630;91.552
0.166;160.695;91.792
0.167;161.742;92.030
0.168;162.776;92.268
0.169;163.801;92.506
0.170;164.814;92.744
0.171;165.810;92.982
0.172;166.794;93.219
0.173;167.774;93.457
0.174;168.758;93.696
0.175;169.743;93.937
0.176;170.721;94.179
0.177;171.685;94.422
0.178;172.628;94.664
0.179;173.545;94.904
0.180;174.445;95.143
0.181;175.333;95.381
0.182;176.211;95.620
0.183;177.083;95.858
0.184;177.953;96.097
0.185;178.826;96.337
0.186;179.699;96.579
0.187;180.565;96.822
0.188;181.419;97.065
0.189;182.257;97.307
0.190;183.071;97.548
0.191;183.860;97.788
0.192;184.629;98.025
0.193;185.389;98.262
0.194;186.146;98.498
0.195;186.903;98.736
0.196;187.661;98.974
0.197;188.418;99.214
0.198;189.169;99.454
0.199;189.910;99.694
0.200;190.634;99.934
0.201;191.341;100.172
0.202;192.030;100.409
0.203;192.706;100.645
0.204;193.377;100.880
0.205;194.047;101.116
0.206;194.712;101.352
0.207;195.365;101.588
0.208;196.004;101.824
0.209;196.632;102.058
0.210;197.250;102.292
0.211;197.855;102.525
0.212;198.446;102.758
0.213;199.025;102.989
0.214;199.597;103.220
0.215;200.165;103.450
0.216;200.731;103.681
0.217;201.290;103.912
0.218;201.840;104.142
0.219;202.380;104.372
0.220;202.911;104.601
0.221;203.432;104.829
0.222;203.940;105.057
0.223;204.432;105.283
0.224;204.910;105.508
0.225;205.381;105.731
0.226;205.849;105.955
0.227;206.314;106.178
0.228;206.772;106.402
0.229;207.224;106.624
0.230;207.667;106.847
0.231;208.101;107.068
0.232;208.527;107.289
0.233;208.940;107.508
0.234;209.342;107.727
0.235;209.736;107.944
0.236;210.125;108.160
0.237;210.511;108.377
0.238;210.893;108.593
0.239;211.270;108.808
0.240;211.639;109.023
0.241;212.002;109.237
0.242;214.046;107.887
0.243;209.660;111.596
0.244;212.882;109.867
